1인당 GDP,국가
,
1622.39172,
,
1790.3488,
2998.501158,
6802.804519,
41992.79336,
7655.848402,
53757.86325,아랍에미리트
13686.00867,
7014.206592,
,
18745.17351,
64491.42989,호주
52131.44666,오스트리아
7736.701232,
238.4418757,
49582.82536,
1303.222014,
832.8842657,
2688.30395,방글라데시
13772.47679,
30152.03468,
31458.30081,
7585.375002,
7904.856243,
6968.361585,
118845.6211,
3523.273733,
8917.673898,
20018.51515,
37152.46624,브루나이
,
7737.654681,
427.0580963,
54966.48884,캐나다
19337.88903,
92101.46974,스위스
,
15355.5065,
12720.21564,중국
2486.412194,
1588.478723,
586.4642889,
2447.988989,
6630.282726,
1484.892465,
3902.589049,
13198.82172,
12382.37538,
,
,
,
31283.50586,
27638.37328,체코
48432.45587,독일
3136.11296,
8414.536593,
66983.132,
10120.55116,
4273.922183,
9952.188121,
4069.176012,
12906.69401,
10376.78025,
27363.87464,
6391.282484,
4295.407496,
40755.04738,
,
29350.16852,스페인
28332.62909,
1027.585918,에티오피아
37149.60859,
1857.0116,
50536.62447,핀란드
5316.658385,
40963.83734,프랑스
,
3741.057769,
8820.347338,
45850.42612,영국
6627.70698,
2175.85977,
,
1531.656475,
840.0101934,
775.8289657,
7053.467085,
20732.05222,
10016.20869,
,
5473.208741,
,
18989.7902,
49430.32936,
48983.6238,홍콩
3040.17308,
1097.051659,
18413.23468,
1748.257132,
18463.20852,헝가리
7658.320887,
5988.572797,
1528.972799,
1930.612819,
4787.999308,인도네시아
1330.854544,
,
2388.621198,인도
,
104038.9461,
4387.825715,
5937.195466,
72902.97995,
54659.75396,이스라엘
34157.99012,이탈리아
6047.216464,
4204.50564,
33815.31727,일본
11243.67123,카자흐스탄
2099.301938,
1606.668075,키르기스스탄
1786.560819,캄보디아
1701.970123,
20176.74758,
32254.62472,대한민국
43233.48909,
8884.682735,
2088.377182,라오스
,
754.5328769,
6716.095985,
11481.49672,
9474.467688,
1259.1412,
741.2443633,
,
3354.383408,
2542.199938,
5793.343949,
1107.395298,
12074.47702,
24826.79104,
126426.0899,
21851.1052,
31617.5019,마카오
,
3527.941895,
,
5562.613625,
505.0355276,
11817.52393,
8949.396779,
11091.30543,
6727.799562,
6388.158169,
6591.471292,
833.2972552,
33940.9496,
1095.70179,미얀마
3952.111391,
9893.515907,
4946.754811,몽골
,
541.4544255,
2190.700205,
10216.29474,
645.1586921,
11971.9276,말레이시아
74164.65302,
4911.327635,
,
533.0287638,
2184.421493,
2255.425986,
55985.40343,네덜란드
106148.7786,노르웨이
1336.546047,네팔
11913.65733,
48249.26402,
43260.7027,
25056.79486,
15990.64736,
1596.662661,
17357.62863,
7125.829235,
3498.509816,필리핀
,
3020.269646,
18321.28089,폴란드
1553.280512,
35208.63719,
,
24274.51658,
6153.055677,
3789.327966,
3874.934178,
50307.66936,
,
88046.32042,카타르
15892.11853,
15345.09668,
966.3271101,
2272.454739,
30436.2783,사우디
1102.146484,
1598.735991,
82807.64908,싱가포르
2203.18966,
461.3611383,
5127.321668,
,
461.77585,
9393.628906,
1689.215655,
,
1690.387566,
14626.50571,
2404.258693,
5858.28606,
21258.11414,
29457.40284,
55873.22081,
4039.518036,
36220.33801,
15874.54007,
,
24917.59581,
716.8043812,
10062.92244,
11324.51067,
918.3767558,
6908.802119,태국
1054.189484,
,
9237.903749,
2358.409054,
3954.094041,
,
2272.454739,
1690.387566,
18222.26033,
3776.667779,
10616.06104,튀르키예
5334.988605,
1192.403809,
964.2243852,
4533.975586,
10794.93186,
20795.04235,
76398.59174,미국
2255.151155,우즈베키스탄
9125.317497,
,
,
,
4163.5143,베트남
3010.292173,
12647.48079,
3743.205679,
5351.439542,
676.928385,
6776.480077,
1487.907764,
1266.996031,
33565,대만
