국가,인터넷 속도
말레이시아,66.84
몽골,18.73
베트남,44.92
대만,75.77
중국,164.14
미국,103.69
일본,47
필리핀,28.28
태국,42.31
홍콩,69.59
네팔,16.4
미얀마,24.25
인도,75.86
싱가포르,89.45
라오스,29.34
마카오,155.75
브루나이,85.13
인도네시아,24.65
프랑스,82.6
캄보디아,25.53
카자흐스탄,35.9
대한민국,145.25
우즈베키스탄,23.69
헝가리,44.07
튀르키예,33.2
독일,64.74
핀란드,95.48
아랍에미리트,269.41
네덜란드,119.34
오스트리아,78.92
체코,56.11
이탈리아,47.38
캐나다,87.85
스페인,40.47
영국,47.65
이스라엘,37.82
호주,97.44
카타르,206.8
사우디,106.01
폴란드,42.79
스위스,89.45
에티오피아,63.83
노르웨이,146.02
키르기스스탄,25.69
방글라데시,20.66
