공항명,활주로 수,국가
쿠알라룸푸르,3,말레이시아
칭기즈 칸(신 울란바토르) 국제공항,1,몽골
껀터 국제공항,1,베트남
푸꾸옥,1,베트남
타이완 타오위안 국제 공항,2,대만
베이징 다싱 국제공항,4,중국
로스앤젤레스,4,미국
다낭,2,베트남
샌프란시스코,4,미국
뉴어크,3,미국
깜라인(나트랑),2,베트남
하네다,3,일본
라스베이거스,4,미국
창사(장사),2,중국
마닐라,2,필리핀
수안나폼(방콕),2,태국
뉴욕,4,미국
코타키나발루,1,말레이시아
팡라로,1,필리핀
홍콩,3,홍콩
치앙마이,1,태국
청두 티안푸국제공항,3,중국
칼리보,1,필리핀
카트만두,1,네팔
애틀랜타,5,미국
노이바이(하노이),2,베트남
양곤,1,미얀마
델리,4,인도
떤 선?(호찌민),2,베트남
싱가포르,3,싱가포르
괌,2,미국
클라크 국제공항,1,필리핀
비엔티안,1,라오스
세부,2,필리핀
마카오,1,마카오
푸껫,1,태국
반다르스리,1,브루나이
돈므앙(방콕),2,태국
사이판,2,미국
자카르타(수카르노 하타) 국제 공항,3,인도네시아
파리,4,프랑스
푸바이 국제공항,1,베트남
프놈펜,1,캄보디아
알마티,2,카자흐스탄
카트비,1,베트남
김해,2,대한민국
대구,2,대한민국
타슈켄트,2,우즈베키스탄
덴파사(응우라 라이),1,인도네시아
부다페스트,2,헝가리
이스탄불,5,튀르키예
간사이,2,일본
대련,1,중국
뮌헨,2,독일
프랑크푸르트,4,독일
후쿠오카,1,일본
연대,1,중국
나고야,1,일본
천진,2,중국
하얼빈,1,중국
남경,2,중국
기타규슈,1,일본
가오슝,1,대만
도쿄/나리타,3,일본
심양,1,중국
지난,1,중국
청도,2,중국
헬싱키,3,핀란드
아부다비 국제공항,2,아랍에미리트
장춘,1,중국
푸동,4,중국
베이징,3,중국
두바이,2,아랍에미리트
암스테르담,6,네덜란드
비엔나,2,오스트리아
샤먼 가오치 국제공항,1,중국
히로시마,1,일본
프라하,2,체코
연길,1,중국
다카마쓰,1,일본
항저우,2,중국
위해,1,중국
구마모토,1,일본
선전(심천),2,중국
충칭,3,중국
삿포로,4,일본
댈러스,2,미국
시애틀,3,미국
밀라노,2,이탈리아
센다이,2,일본
오이타,1,일본
로마,4,이탈리아
밴쿠버,3,캐나다
광저우,3,중국
바르셀로나,3,스페인
토론토,5,캐나다
런던히드로,2,영국
미니애폴리스,4,미국
텔아비브,3,이스라엘
디트로이트,6,미국
수난 슈오팡 국제공항,1,중국
시카고,8,미국
보스턴,6,미국
호놀룰루,6,미국
브리즈번,2,호주
워싱톤,4,미국
시드니,3,호주
도하,2,카타르
마쓰야마,1,일본
목단강,1,중국
오클랜드,1,미국
장가계,1,중국
리야드,2,사우디
달랏,1,베트남
바르샤바,2,폴란드
콜롬보,1,이탈리아
앵커리지,3,미국
원저우,1,중국
쿤밍,2,중국
취리히,3,스위스
마드리드,4,스페인
아사히카와,1,일본
아디스아바바,2,에티오피아
오슬로,2,노르웨이
시안,2,중국
옌청,1,중국
시즈오카,1,일본
제다,3,사우디
산야,1,중국
베니스,2,이탈리아
오키나와,2,일본
석가장,1,중국
제주,2,대한민국
가목사,1,중국
마나스 국제공항,1,키르기스스탄
다카,1,방글라데시
알막툼,1,두바이
하이커우,2,중국
